Buiness is Buiness	Taz Taylor, SIDEPCE, Lil Baby, Gunna, Turbo	Lil Baby, Gunna	English	2018	hip-hop	null	hardwork	inspiring	synthesizer	5	3	5	4	8	4	5
Demons and Angles	Richie Souf, A Boogie wit da Hoodie, Juice wrld	A Boogie wit da Hoodie, Juice wrld	English	2018	hip-hop	R&B	lifestyle	mellow	synthesizer	5	5	6	7	7	3	4
Drip or Drown	Gunna	Gunna	English	2019	hip-hop	Rap	braggadocious	upbeat	synthesizer	5	4	6	7	6	3	3
Hear Me Calling	Jarad Higgins, Geroge Dickenson, Nathanial Caserta	Juice Wrld	English	2019	hip-hop	Dancehall	emotions	light-hearted	piano	6	7	7	6	9	8	3
Juveniles	YBN Nahmir, wifisfuneral	wifisfuneral, YBN Nahmir	English	2018	hip-hop	null	strip club	upbeat	synthesizer	5	3	3	7	7	7	7
Life Goes On	Lil Baby, Lil Uzi Vert, Gunna, Quay Global	Lil Baby, LIl Uzi Vert, Gunna	English 	2018	hip-hop	Rap	braggadocious	upbeat	synthesizer	5	4	6	7	8	7	4
Magic	Matthew Harui	Yung Gravy	English	2019	hip-hop	null	braggadocious	uplifting	vocals	7	5	3	10	8	4	5
Maze	Boi-1da, Juice Wrld	Juice Wrld	English	2019	hip-hop	null	depression	light-hearted	synthesizer	5	6	6	7	8	3	3
New Patek	Dolan Beats, Lil Uzi Vert	Lil Uzi Vert	English	2018	hip-hop	Trap	braggadocious	upbeat	piano	5	6	6	8	10	10	8
Old Town Road	Montero Hill, Trent Renzor, Atticus Ross	Lil Nas X	English	2019	country	Trap	Independence	melow	guitar	5	4	7	5	7	7	4
Put a Date on It	Lil Baby, Yo Gotti	Lil Baby, Yo Gotti	English 	2019	hip-hop	Trap	 braggadocious	upbeat	synthesizer	5	5	7	6	7	3	4
Sanguine Paradise	Lil Uzi Vert	Lil Uzi Vert	English	2019	hip-hop	null	perseverance	exciting	Piano	5	5	6	9	8	7	7
The Reaper	The Atomix, A Boogie wit da Hoodie	A Boogie wit da Hoodie	English	2018	hip-hop	Trap	lifestyle	mellow	guitar	5	7	7	9	9	5	5
2:00 AM	Cassanova, Tory Lanez, Davaido	Cassanova, Tory Lanez, Davaido	English	2019	hip-hop 	R&B	Relationships	relaxed 	synthesizer	5	5	4	4	5	7	4
6 inch	Beyonce, The Weekend	Beyonce, The Weekend	English	2019	pop	null	Encouraging 	UpBeat	Trumpet 	5	6	9	9	7	7	4
Beat It	Michael Jackson	Michael Jackson	English	1982	pop	rock	smart choices	uplifting	guitar	4	6	9	9	9	7	5
Every Season 	Roddy Rich 	Roddy Rich 	English 	2018	hip-hop 	Rap	Money 	Hype	Guitar 	3	5	5	7	7	7	4
Gods Gift	J.Cole	J.Cole	English	2011	hip-hop 	Rap	Storytelling	Touching 	Drums	6	8	3	3	6	1	3
I Like Girls	Pnb rock, Lil Skies	Pnb rock, Lil Skies	English 	2019	hip-hop 	Rap	Women	Hype	Piano	3	2	6	6	7	9	3
rock Your Body	Chris Bronw	Chris Brown	English 	2017	R&B	Soul 	Dancing	Smooth	synthesizer	3	4	7	8	7	9	4
Shed you	Tessa Thompson, Moses Sumney	Tessa Thompson, Moses Sumney	English 	2015	R&B	Soul 	Love	Chill	synthesizer	6	4	4	5	3	3	2
Sola	Jessie Reyez 	Jessie Reyez 	English 	2018	R&B	Soul 	moving on	Sad	Guitar 	6	7	10	8	7	3	3
The Worst	Jhene Aiko	Jhene Aiko 	English 	2013	R&B	R&B	Relationships	Smooth	Piano	4	7	6	6	6	8	3
Unfazed	LIL UZI	LIL UZI ,The Weekend	English	2017	hip-hop 	Rap	Fearless	Hype	Synthesizer 	5	1	6	6	2	5	10
Back In Black	AC/DC	Brian Johnson 	English	1980	rock	heavy metel	back	exciting	Guitar	8	9	8	8	7	9	8
Radioactive	Dan Reynolds	Dan Reynolds	English	2012	rock	alt rock	apocalypse	exciting	drum	7	9	8	8	8	6	6
Highway to Hell	AC/DC	Bon Scott	English	1979	rock	hard rock	hell	exciting	Guitar	8	8	8	7	7	7	6
i Will Always Love You	Dolly Parton	Whitney Houston	English	1973	Country	null	love	sad	Piano	7	9	9	8	8	8	7
Counting Starts	One Republic	Ryan Tedder	English	2013	 pop rock	funk pop	love	happy	Guitar	8	8	8	8	8	8	8
Demons	Imagine Dragons 	Dan Reynolds	English	2012	indie rock	null	yourself	anger	drum	8	9	9	8	9	8	8
Monster	Imagine Dragons	Dan Reynolds	English	2013	indie rock	 Alternative Rock	yourself	anger	drum	7	8	9	9	7	8	8
Time in a bottle	Jim Croce	Jim Croce	English	1973	folk rock	null	time	hope	Guitar	9	8	7	8	8	8	8
Uptown Funk	Mark Ronson	Bruno Mars	English	2014	funk-pop	disco-pop	Women	happy	drum	7	7	8	9	9	9	9
The Real Slim Shady 	Eminem	Eminem	English	2000	rap	hip-hop	null	anger	drums	4	8	8	8	9	5	4
4 your eyez only	J.cole	J.cole	English	2016	hip-hop	rap	hardship	sad	synthesizer	5	10	8	8	7	0	7
Come closer	A Boogie wit da Hoodie, Queen Naija	A Boodie and Queen Naija	English	2018	hip-hop	rap	heartbreak destraction	sad	synthesizer	7	7	7	7	4	0	7
Confuession of a dangerous mind	Logic	Logic	English	2019	hip-hop	rap	self esteem	calm	synthesizer	7	9	6	8	8	0	8
Immortal	J.cole	J.cole	English	2016	hip-hop	rap	inspirational	chill	synthesizer	7	9	7	6	7	0	3
Love love the way you lie	Eminem, Rihanna	Eminem, Rihanna	English	2018	hip-hop	rap	Mistakes	chill	synthesizer	4	8	6	7	7	0	6
Love youz	J.cole	J.cole	English	2014	hip-hop	rap	self respect 	sad	synthesizer	8	10	9	9	9	0	9
Memories	Thutmose	Thutmose	English	2018	hip-hop	rap	love	chill	synthesizer	7	6	6	9	8	0	7
Middle child 	J.cole	J.cole	English	2019	hip-hop	rap	self conscious	chill	synthesizer	6	8	6	6	7	0	7
The Story of O.J.	Jay-Z	Jay-Z	English	2017	hip-hop	rap	money smart	chill	synthesizer	7	8	8	7	4	0	6
Thriller	Michael Jackson	Michael Jackson	English	1982	pop	pop 	monsters	energetic	synthesizer	9	9	9	9	9	10	9
Alone	Lund	Lund	English	2016	hip-hop	Rap	Feeling Alone	Sad	drums	4	8	10	8	4	3	5
Broken	Lund	Lund	English	2016	hip-hop	Rap	Depression	Sad	Guitar 	6	6	9	9	4	2	5
Chemicals	Col3trane	Col3trane	English	2018	R&B 	Soul	chill	chill		4	6	8	8	6	3	5
D0 to 100	Drake	Drake	Englsih	2014	hip-hop	Rap	going fast	Hype	Drums	3	7	6	8	8	6	4
GOMF	DVBBS, Bridge	DVBBS, Bridge	English	2019	Dance	Electonic	dance	uplifting	Bass guitar	4	9	9	6	10	10	6
H2o	Ski Mask theSlump God	XXXtentacion	English	2017	hip-hop	Rap	H20	Hype	Drums	3	6	4	4	8	6	6
Kill You 	Eminem	Eminem	English	2000	hip-hop	Rap	Anger	Mad	Drums	3	8	3	2	6	1	8
Homicide	Eminem	Eminem	English	2019	hip-hop	Rap	Boasting	Hype	Drums	6	8	5	5	8	4	8
Mr. Clean	Yung Gracy	Yung Gracy	English	2018	hip-hop	Rap	null	Hype	Synthesizers	4	6	6	5	9	4	3
Exchange	Brysn Tiller	Brysn Tiller	Egnlish	2015	R&B	Soul	loss	Sad	Drums	5	9	9	8	5	4	3
All Into Nothing	R3HAB, Mokita	R3HAB, Mokita	English	2018	pop	null	Missing someone	Happy, Sad	Synthesizer	5	8	7	7	7	8	7
Exposed	APEK	APEK, April Bender	English	2018	pop	Electronic	Loving someone	Chill	Synthesizer	8	7	7	8	8	8	8
God Damnit	Illenium	Illenium, Call Me Karizma	English	2018	pop	null	Not being enough	Calm	Synthesizer	5	8	7	6	6	6	5
Grip	Seeb, Bastille	Seeb, Bastille	English	2018	pop	Electronic	Decision Making	Calm	Synthesizer	4	7	6	6	7	6	7
I Don't Want To See You Anymore Pilton Remix	XYLO	XYLO	English	2018	pop	null	Not caring anymore	Happy, Sad	Synthesizer	6	5	5	5	5	6	5
Let You Love Me MÖWE Remix	Rita Ora	Rita Ora	English	2018	pop	Electronic	Opening up to someone	Chill	Synthesizer	6	5	6	6	6	6	7
London	Mokita	Mokita	English	2018	pop	Electronic	Heartbroken	Sad	Sythesizer	5	7	6	7	7	5	5
Start It Over	NOTD	NOTD, CVBZ, SHY Martin	English	2018	Dance	Electronic	Missing someone	Reminiscent	Synthesizer	6	6	4	5	5	6	6
When I'm With U	Tritonal	Tritonal, Maia Wright	English	2018	pop	Electronic	Wanting someone	Nostalgic	Synthesizer	7	6	7	6	7	7	7
Wish I Never Met You	Loote	Loote	English	2018	pop	null	Not wanting someone	Regretful	Synthesizer	7	7	7	6	7	7	7
100 Bad Days	AJR	AJR	English	2019	pop	alternative	bad days	uplifting	drums	8	6	8	8	6	5	5
Adentro	 Calle 13	Calle 13	Spanish	2014	latin	rap	fighting back	uplifting	trumpet	9	9	5	7	6	4	8
Bet My Heart	Maroon 5	Maroon 5	English	2017	pop	null	questioning love	sad	guitar	7	7	7	9	7	6	8
Code Red	Token	Token	English	2018	hip-hop	rap	going far in life	hype	synthesizer	7	9	6	7	7	6	7
Congratulations	Pewdipie, Boyinaband, Roomie	Pewdiepie, Boyinaband, Roomie	English	2019	pop	synthpop	beef	sarcastoc	synthesizer	6	8	4	6	7	8	9
Green Lights	Tommee Profitt, David Garcia, NF	NF	English	2017	hip-hop	christian rap	going far in life	encouraging	synthesizer	5	7	6	6	7	6	7
My Blood	Twenty One Pilots	Twenty One Pilots	English	2018	pop	alternative	family together	inspiring	drum set	9	8	9	8	9	6	5
Sucker	The Jonas Brothers, Tedder, Bells, Dukes	The Jonas Brothers	English	2019	pop	alternative	loving someone	happy	guitar	8	6	7	8	9	8	8
The Break Up	Machine Gun Kelly	Machine Gun Kelly	English	2017	hip-hop	rap/trap	breaking up	chill	synthesizer	6	6	5	6	7	6	6
What Goes Around Comes Around	Justin T., Danja, Timbaland	Justin Timberlake	English	2006	r&b	null	betrayal	regret	guitar	8	5	7	8	7	6	8
Once in a Lifetime	Talking Heads	Talking Heads	English	1981	rock	soft rock	depression	love	guitar	7	7	5	10	10	6	9
Just Like Honey	The jesus and mary chain 	The jesus and mary chain 	English	1985	rock	pop rock	Racing	fast	guitar	10	10	9	9	7	8	8
Deaf to the Hate	Braydbunch	Braydbunch	English	2018	hip-hop	rap	resentment	sad	drum	6	5	8	8	6	9	5
Everybody wants to rule the world	Tears For Fears	Tears For Fears	English	1985	rock	soul hop	upliftng	hype	synthesizer	7	6	5	5	10	10	9
Ha	Juvenile 	Juvenile 	English	1998	hip-hop 	rap	isolation 	hype	vocals	10	9	8	8	7	6	8
I got 5 on it	luniz	luniz	English	1995	hip-hop 	Rap 	lifestlye	Hustle	vocals	10	10	6	9	4	3	9
Jump Around	Lawrence Muggerud, Erik Schrody	    Lawrence Muggerud, Erik Schrody	English	1992	hip  hop	rap	uplifting	bounce	synthesizer	10	5	5	3	8	9	4
N.Y State of mind	Nas	Nas	English	1992	hip-hop	rap	influentual	up beat	vocals	9	9	8	8	10	5	5
rocket Man	Elton John, Bernie Taupin	Elton john	English	1972	rock	soft rock	family love	uplifting	drum	9	8	7	7	6	9	5
Under Pressure	Queen, David Bowie	Queen, David Bowie	English	1981	rock	soft rock	ethical	exciting	guitar	6	9	7	8	10	5	10
aLIEz	Hiroyuki Sawano	Hiroyuki Sawano	Japanese	2014	pop	jpop	pain	hype	sythesizer	8	8	8	8	8	0	7
BLUE 	BIGBANG	BIGBANG	Korean	2012	kpop	Rap	Love	sad	sythesizer	5	6	7	7	7	4	6
DDU-DU DDU-DU	BlackPink	BlackPink	Korean	2018	Kpop	Rap	boys	upbeat	sythesizer	4	6	7	7	7	7	5
Deja vu	Dave Rodgers	Dave Rodgers	English	2006	Eurobeat	Disco	Racing	Fast	sythesizer	5	8	8	8	8	8	10
Gurenge	LiSA	LiSA	Japanese	2019	pop	jpop	Move on	sad	sythesizer	5	8	8	8	8	6	7
Heaven	Wheesung	Ailee	Korean	2012	Kpop	Null	Love	Happy	sythesizer	0	8	8	8	8	6	5
Kaen	queen bee	queen bee	Japanese	2019	Rap	jpop	motivation	chill	sythesizer	5	7	7	9	10	7	6
Running in the 90s	Max Coveri	Max Coveri	English	1998	Eurobeat	90s	Racing	Fast	sythesizer	4	7	6	7	9	8	10
Sakura	Che'Nelle	Che'Nelle	Japanese	2011	pop	jpop	Promise	smooth	sythesizer	5	8	9	9	8	4	4
What is Love?	Twice	Twice	Korean	2018	kpop	Rap	love		sythesizer	4	7	7	7	7	4	6
Blem	Drake 	Drake 	English	2017	hip-hop 	rap	honesty	danceable	synthesizer	9	8	8	9	9	9	7
Headlines	Drake	Drake	English	2011	hip-hop 	rap	self confidence 	hype	synthesizer	6	10	7	9	8	6	6
Hold On, We're Going Home	Drake	Drake, Majid Jordan 	English	2013	hip-hop	rap	love	calm	synthesizer	8	9	8	8	9	1	3
In the Morning 	J cole	J cole, Drake	English	2011	hip-hop 	soul	flirting 	smooth	synthesizer	8	8	7	8	9	3	4
Inmortal	Aventura	Aventura	Spanish	2019	Latin	Bachata	love	danceable	synthesizer	8	8	9	9	9	10	7
Long Way 2 Go	Cassie 	Cassie 	English	2006	r&b 	soul	too good for you	empowering 	synthesizer	6	8	7	7	8	5	5
Me, Myself and I 	Beyonce	Beyonce 	English	2003	pop	null	independence 	empowering	synthesizer	9	10	10	9	9	1	3
Moment 4 life	Nicki MInaj	Nicki MInaj, Drake	English	2010	hip-hop 	rap	self confidence 	hype	synthesizer	7	9	9	8	9	2	5
Tonight (Best You Ever Had)	John Legend 	John Legend, Ludacris	English	2012	r&b 	soul	flirting 	smooth 	synthesizer	8	8	9	9	9	2	4
Triggered 	Jhene Aiko	Jhene Aiko 	English	2019	r&b 	soul	breakup	hurt	synthesizer	9	9	10	9	8	1	2
Passionfruit	Nana Rogues, Drake	Drake, Zoe kravitz	English	2017	Dance Hall	R&B	Love	Chill	Synthesizer	9	9	9	10	10	6	9
I Don't Know You 	The Marias 	The Marias 	English	2017	Jazz	R&B	Love	Chill	Guitar & Drums 	10	9	9	9	9	6	8
Bonnie & Clyde 	Deanfluenza, zxxx	Dean	Korean & English	2015	R&B	Soul	Relationship Poblems, Issues 	Sad, Chill	Synthesizer	10	10	10	9	9	9	9
Daydream	J-Hope, Pdogg	J-Hope	Korean 	2018	pop	K-pop	Fantasy	Funcky	Synthesizer	10	10	10	9	9	10	10
Psycho	Post Malone, Louis Bell	Post Malone, Ty Dolla $ign	English	2018	R&B	pop	Trust Issues	Sad	Synthesizer	8	9	8	8	8	9	7
Oxygen 	Jackson Wang, BOYTOY	Jackson Wang	English 	2019	hip-hop	Rap	Love and oxygen	Chill	Synthesizer	9	10	9	10	10	7	10
Test Drive	RL Grime	Joji	English	2018	R&B	Soul	Love 	Sad	synthesizer	8	9	9	10	10	5	7
Lo Que Siento 	CUCO	CUCO	Spanish & English	2017	pop	Alternative Dream pop	Emotional	Vape wave 	synthesizer	7	9	8	10	10	3	9
Jasmine	CODE KUNST	DPR Live	Korean	2017	Rap	hip-hop	Love	Chill	synthesizer	9	9	10	9	10	7	9
Cold 	Rich Brian 	Rich Brian 	English	2016	Rap	hip-hop	Emotional	Chill	synthesizer	8	8	8	9	9	7	8
Donald Trump	Mac Miller	Mac Miller	English	2011	hip-hop	Rap	inspirational	Uplifting	synthesizer	6	7	6	4	8	3	4
emotions	iann dior	iann dior	English	2019	hip-hop	rap	heartbreak	sad	piano	7	8	7	8	7	5	5
EUNG FREESTYLE	Dream Perfect Regime	LIVE, SIK-K, PUNCHNELLO, OWEN OVADOZ, FLOWSIK	Korean	2016	Rap	Korean	prospering	hype	synthesizer	6	7	6	6	8	5	8
Going Down to Underwater	Keith Ape, Ski Mask the Slump God	Keith Ape, Ski Mask the Slump God	English	2017	hip-hop	rap	flexing	hype	drum	5	7	7	6	8	5	8
Mars	Maxo Kream, Lil Uzi Vert	Maxo Kream, Lil Uzi Vert	English	2017	hip-hop	rap	lifestyle	energetic	piano	6	7	8	8	7	5	5
Mona Lisa	Lil Wayne, Kendrick Lamar	Lil Wayne, Kendrick Lamar	English	2018	hip-hop	rap	storytelling	exciting	piano	6	8	7	9	7	4	6
Overwhelming	Matt OX	Matt OX	English	2017	hip-hop	rap	flexing	energetic	synthesizer	6	6	6	8	7	7	5
Sad	Kodie Shane, Lil Yachty	Kodie Shane, Lil Yachty	English	2016	hip-hop	rap	isolation	sad	snares	5	6	7	8	8	3	3
Using You	Mars Argo	Mars Argo	English	2010	pop	Alternative	Relationship	emotional	drums	8	7	8	8	7	8	5
Yikes	Kanye West	Kanye West	English	2018	hip-hop	rap	storytelling	energetic	cymbal	5	7	4	6	6	5	4
Billie Jean	Michael Jackson	Michael Jackson	English	1982	pop	soul	paternity	angry	synthesizer	4	8	9	9	10	10	4
Affection	Between friends	Between Friends	English	2019	pop		Looking for love	Lonley	Guitar	7	10	8	8	6	5	5
Beneath The Mask	Rike Schlmalz	Lyn	English	2017	blues	Jazz	Identity	relaxed	drum	6	7	7	8	6	4	4
Break In To Break Out	Benjamin franklin	Lyn	Englsih	2018	pop	Jazz	Breaking out	Uplifting	Guitar	8	8	9	6	7	6	7
Daylily	Patrick Miranda	Movements	English	2017	rock	Indie	Depression	nostalgic	Drums	7	8	7	5	8	3	6
From Ritz To Bubbles	Alex and Tunner	Arctic Monkeys	English	2006	rock	Indie	Night out	Happy	Guitar	10	7	8	5	8	6	8
Hiding With Boys	Neil Kennedy and Creeper	Creeper	English	2016	rock	Punk	hiding	Helpless	Guitar	9	8	6	4	8	4	7
Violet	Courtney Love and Eric Erlandson	Courtney Love/ Hole	English	1994	rock	Grunge	Abandoned romance	Rebel	Guitar	9	8	9	5	7	5	7
popstars	Madison Beer, (G)-I-DLE, Jaira Burns	KDA	Korean	2018	KPOP	Rap	Power	uplifting	sythesizer	5	9	9	5	6	10	8
Kathleen	Catfish and the Bottlemen	Catfish and the Bottlemen	English	2014	rock	Indie	Problems	chill	Guitar	8	6	6	3	5	5	6
What You Want	Shane Stevens, Savannah	Savannah	English	2017	pop	Punk	Need	chill	Drum	8	7	8	5	6	6	6
Die For You	The Weeknd	The Weeknd	English	2016	R&B	Alternative	Love	Chill	Bass	5	6	7	9	9	1	3
Best Part	Daniel Caesar	Daniel Caesar, H.E.R	English	2017	R&B	null	Love	Chill	Guitar	7	8	8	8	8	2	3
Freudian	Daniel Caesar	Daniel Caesar	English	2017	R&B	null	Regret	Chill	Guitar	4	6	7	9	9	2	3
Heaven	Khalid	Khalid	English	2018	R&B	alternative	Emotional	Chill	Synthesizer	5	9	6	7	7	7	2
Almost Love	Sabrina Carpenter	Sabrina Carpenter	English	2018	pop	null	Excitement	Upbeat	Synthesizer	8	7	7	6	8	6	8
Paris	Sabrina Carpenter	Sabrina Carpenter	English	2018	pop	null	Love	Calm	Guitar	9	6	6	7	9	6	5
in my head	Ariana Grande	Ariana Grande	English	2019	pop	null	Regret	Calm	Synthesizer	3	7	10	9	9	2	4
better off	Ariana Grande	Ariana Grande	English	2018	pop	null	Heartbroken	Sad	Synthesizer	4	10	4	5	5	1	2
Beautiful	Bazzi	Bazzi	English	2018	pop	null	Love	Chill	Synthesizer	5	10	10	7	7	3	3
Almost is Never Enough	Ariana Grande, Nathan Sykes	Ariana Grande, Nathan Sykes	English	2013	pop	null	Regret	Sad	Piano	5	8	8	6	6	3	3
August	Azerrz	Azerrz	English	2018	R&B	Soul	Exes	sad	vocals	5	10	10	9	10	0	4
Changes 	DeJ Loaf	Dej Loaf	English	2018	hip-hop	rap	Old Friends 	uplifting	synthesizer	10	10	9	8	10	10	10
Diamonds 	Issac D,  Jamel P, James S, Joshua C, Micheal M, Rakim M	ASAP Twelvyy	english	2017	hip-hop	rap	fame	gangsta	synthesizer	10	8	6	9	10	0	8
Drama	Roy Woods, Drake	Roy woods	english	2015	 R&B	soul	girlfriend	light hearted	vocals	0	8	9	10	10	4	7
I'll be fine	Juice WRLD	Juice WRLD	english	2018	hip-hop	hip-hop	moving on	upbeat	synthesizer	7	9	7	6	8	7	8
Legends	Juice WRLD	Juice WRLD	english	2018	hip-hop	rap	dying too soon	mellow	synthesizer	9	10	7	8	9	0	9
Lucid Dreams	Juice WRLD	Juice WRLD	english	2017	hip-hop	emo rap	nighmares	upbeat	synthesizer	10	9	7	7	10	8	9
Poison	Elliott Straite, Kwamé Holland	Bell Biv DeVoe	english	1989	 R&B	contemporary R&B	poisonous girls	upbeat	timbales	9	9	7	8	10	9	9
Romeo & Juliet	Trippie Redd	Trippie Redd	english	2017	hip-hop	rap	love	love	synthesizer	7	10	9	7	8	0	4
Sweater Weather	The Neighborhood	The Neighborhood	English	2011	indie	indie pop	love	sad	drum	10	9	9	9	10	5	7
abusadora	oro solido	oro solido	spanish	1997	Latin	Merengue	love	excitment	tambora	8	7	7	7	8	8	8
blue bird 	yoshiki mizumo, ikimono gakari and the band	ikimono gakari	Japanese	2008	pop	jpop	someone special	sad	Null	8	8	8	8	7	8	7
el Diente de oro	el ciego de Nagua	el  ciego de Nagua	spanish	2017	Latin	Merengue	gold tooth, hood	sad	Accordion	9	6	7	7	7	9	8
endless story 	yuna ito	yuna ito	Japanese	2005	pop	jpop	love	sad, happy	voice, synthesizer	8	8	7	7	8	7	7
ft.	Funkist	funkist	Japanese	2010	rock	Jrock	not giving up 	uplifting	synthesizer	8	9	8	7	8	8	8
In my world	Rookiez is Punk'd	rookiez is punk'd	Japanese	2011	rock	jrock	depressed	sad	guitar	8	10	7	7	8	0	7
indestructible	Disturbed	disutrbed	english	2008	rock	hardrock	overwhelming	carzy	guitar	9	8	8	7	8	7	4
Kuchizuke Daimond	weaver	weaver	Japanese	2016	pop	jpop	love	sad	piano	8	8	7	8	8	6	6
Miwa change	miwa, Fumiko Orikasa	miwa	Japanese	2011	rock, pop	jpop, jrock 	finding yourself	sad	Null	8	6	9	7	7	6	8
share the world	TVXQ	TVXQ	Japanese	2009	pop	jpop	understanding	sad, happy	synthesizer	8	7	7	7	9	6	6
Act Up	JT, EarlThePearll, Lil Yachty	City Girls	English	2018	Rap	Trap 	Scamming	Diva	Synthesizer	4	10	10	8	6	10	6
Bleach	Dom McLennon, ​bearface, Ryan Beatty, Joba, Ameer Vann, Merlyn Wood, Matt Champion & Kevin Abstract	BROCKHAMPTON	English	2017	hip-hop, R&B	Altpop	Depression	Helplessness	Synthesizer	6	10	10	9	9	3	5
FANCY	Jeon Goon, Black Eyed Pelseung	TWICE	Korean	2019	pop	Kpop	Love	Happy	Synthesizer	5	8	10	8	10	10	7
ODD FUTURE	katsuya, TAKUYA	Uverworld	Japanese	2018	rock	Jrock	Escaping Darkness	Excited	Synthesizer	10	9	6	9	9	7	9
Peace Sign	Kenshi Yonezu	Kenshi Yonezu, Youhei Makabe, Yu Suto, Masaki Hori, Ichiyo Izawa	Japanese	2017	rock	Jrock	Self Strength	Uplifiting	Guitar	10	9	7	9	8	7	9
Gotta Go	B.E.P, Jeongoon	Chung Ha	Korean	2019	pop	Kpop	Loving too late	Sexy	Synthesizer	7	10	10	9	9	10	5
Bon Bon Chocolate	JQ, Tomboy, Yunsu, jiwon Lee	Everglow	Korean	2019	pop	Kpop	Possiblities	Bad Girl	Synthesizer	6	8	10	7	8	10	5
Needy	Ariana Grande, Tayla Parx, Tommy Brown, Victoria Monet	Ariana Grande	English	2019	pop	null	Relationship Anxieties	Helplessness	Piano/ Synthesizer	7	9	10	6	9	2	3
Home	J-Hope, ADORA, Julia Ross, Krysta Youngs, Lauren Dyson, Pdogg, RM, Suga, Tushar Apte, Jaegyeon Song, Bobby Jeong	BTS	Korean	2019	pop	Kpop	Love	Excited/Comforted	Synthesizer	6	10	10	9	9	10	7
